ID	Year	Sex	Trappability	ARS	SVL
13BTS223	2012	F	0	0	843.400
13BTS223	2013	F	0	0	1010.000
13BTS223	2015	F	1	0	1033.000
13BTS224	2010	F	0	0	719.333
13BTS224	2011	F	0	0	797.000
13BTS226	2010	F	0	0	610.667
13BTS226	2011	F	0	0	774.000
13BTS227	2010	F	0	0	492.000
13BTS227	2011	F	1	0	627.000
13BTS232	2010	F	0	0	582.000
13BTS232	2011	F	3	0	817.333
13BTS232	2012	F	0	0	1023.000
13BTS235	2010	F	0	0	421.000
13BTS235	2011	F	0	0	717.500
13BTS235	2012	F	1	0	883.333
13BTS235	2013	F	0	1	1017.000
13BTS235	2015	F	5	0	1083.750
13BTS235	2016	F	1	0	1065.000
13BTS237	2010	F	0	0	442.000
13BTS239	2010	F	0	0	546.333
13BTS239	2011	F	0	0	642.000
13BTS239	2013	F	0	2	998.333
13BTS239	2015	F	5	0	1026.000
13BTS239	2016	F	1	0	1032.500
13BTS239	2017	F	3	0	1024.167
13BTS240	2010	F	0	0	625.000
13BTS240	2011	F	0	0	701.000
13BTS241	2010	F	0	0	769.667
13BTS241	2011	F	1	0	840.000
13BTS242	2010	F	0	0	505.000
13BTS242	2012	F	3	0	961.750
13BTS242	2013	F	1	0	1057.000
13BTS242	2015	F	1	0	1106.750
13BTS243	2010	F	0	0	623.667
13BTS243	2011	F	0	0	785.667
13BTS243	2012	F	6	0	957.857
13BTS243	2013	F	2	0	1040.500
13BTS244	2010	F	0	0	493.500
13BTS244	2012	F	0	0	847.000
13BTS255	2010	F	0	0	522.000
13BTS255	2011	F	0	0	667.250
13BTS255	2012	F	1	0	859.750
13BTS255	2013	F	0	2	979.800
13BTS255	2015	F	1	0	1036.500
13BTS255	2016	F	5	0	1026.000
13BTS256	2010	F	0	0	673.500
13BTS256	2011	F	1	0	710.000
13BTS259	2010	F	0	0	446.000
13BTS259	2011	F	0	0	602.500
13BTS259	2012	F	5	0	872.667
13BTS261	2011	F	0	0	726.333
13BTS261	2012	F	1	0	1010.286
13BTS261	2013	F	0	0	1063.000
13BTS261	2015	F	0	0	1109.500
13BTS261	2016	F	2	1	1112.000
13BTS263	2010	F	0	0	597.000
13BTS263	2011	F	0	0	691.500
13BTS265	2011	F	1	0	607.333
13BTS268	2011	F	0	0	493.333
13BTS268	2012	F	0	0	724.000
13BTS270	2011	F	0	0	732.000
13BTS270	2012	F	0	1	994.200
13BTS270	2013	F	2	3	1089.500
13BTS272	2010	F	0	0	726.000
13BTS272	2011	F	0	0	790.000
13BTS272	2012	F	3	1	1027.667
13BTS272	2013	F	0	4	1148.000
13BTS272	2015	F	2	0	1154.500
13BTS278	2010	F	0	0	521.000
13BTS278	2011	F	0	0	681.000
13BTS278	2012	F	6	0	843.500
13BTS278	2013	F	6	2	1015.833
13BTS278	2015	F	4	0	1106.000
13BTS283	2011	F	0	0	671.250
13BTS284	2011	F	0	0	653.250
13BTS284	2012	F	8	0	957.000
13BTS287	2011	F	0	0	699.333
13BTS287	2012	F	0	0	1026.000
13BTS287	2013	F	3	3	1122.000
13BTS290	2011	F	0	0	655.000
13BTS290	2012	F	0	0	854.667
13BTS290	2013	F	6	0	1000.714
13BTS290	2015	F	5	0	1088.400
13BTS293	2011	F	1	0	659.000
13BTS294	2011	F	0	0	668.000
13BTS294	2012	F	2	0	826.333
13BTS294	2013	F	0	0	1001.500
13BTS294	2015	F	2	0	1058.333
13BTS294	2016	F	0	0	1092.750
13BTS294	2017	F	11	0	1114.115
13BTS294	2018	F	1	0	1124.000
13BTS296	2011	F	0	0	682.500
13BTS296	2012	F	2	1	921.250
13BTS296	2013	F	5	1	1022.571
13BTS298	2011	F	1	0	678.750
13BTS301	2011	F	1	0	609.000
13BTS302	2011	F	1	0	811.000
13BTS303	2011	F	1	0	790.000
13BTS304	2011	F	1	0	767.000
13BTS305	2011	F	1	0	1025.000
13BTS308	2011	F	0	0	794.000
13BTS308	2012	F	8	0	1001.500
13BTS308	2013	F	3	0	1086.000
13BTS315	2011	F	0	0	669.500
13BTS315	2012	F	0	0	904.500
13BTS317	2012	F	0	0	875.500
13BTS317	2013	F	1	1	1020.000
13BTS317	2015	F	0	0	1046.000
13BTS317	2016	F	0	0	1094.333
13BTS318	2012	F	0	0	929.667
13BTS320	2012	F	0	0	669.500
13BTS320	2013	F	0	0	707.000
13BTS320	2015	F	1	0	998.000
13BTS320	2016	F	0	0	1062.300
13BTS320	2017	F	2	0	1080.222
13BTS324	2015	F	0	0	824.500
13BTS324	2016	F	0	0	1033.333
13BTS324	2017	F	0	0	1033.000
13BTS328	2012	F	0	0	415.000
13BTS328	2015	F	0	0	920.333
13BTS328	2016	F	4	1	995.750
13BTS328	2017	F	0	0	991.667
13BTS332	2012	F	0	0	469.000
13BTS332	2015	F	1	0	1018.200
13BTS332	2016	F	0	0	1070.000
13BTS332	2017	F	3	0	1077.200
13BTS334	2012	F	0	0	795.000
13BTS338	2012	F	0	0	412.000
13BTS338	2013	F	0	0	500.000
13BTS338	2015	F	5	0	927.333
13BTS338	2016	F	0	0	977.667
13BTS338	2017	F	2	0	994.048
13BTS338	2018	F	0	0	1017.750
13BTS339	2012	F	2	4	996.500
13BTS339	2013	F	2	2	1123.000
13BTS346	2012	F	0	0	624.000
13BTS346	2015	F	4	0	964.286
13BTS346	2016	F	0	0	1007.625
13BTS346	2017	F	3	0	1011.833
13BTS359	2015	F	0	0	779.500
13BTS359	2016	F	0	0	922.833
13BTS359	2017	F	9	0	958.571
13BTS360	2015	F	0	0	927.000
13BTS362	2015	F	0	0	865.000
13BTS362	2016	F	0	0	1035.833
13BTS363	2015	F	0	0	857.500
13BTS363	2016	F	0	0	979.000
13BTS363	2017	F	0	0	956.000
13BTS366	2015	F	0	0	563.000
13BTS366	2016	F	0	0	822.250
13BTS368	2015	F	0	0	946.500
13BTS368	2016	F	0	1	1067.667
13BTS368	2017	F	0	0	1108.714
13BTS368	2018	F	0	0	1139.333
13BTS369	2015	F	0	0	828.500
13BTS369	2016	F	0	0	982.143
13BTS369	2017	F	3	0	1036.333
13BTS370	2015	F	0	0	871.000
13BTS370	2016	F	0	0	1007.600
13BTS370	2017	F	1	0	1069.091
13BTS370	2018	F	0	0	1077.500
13BTS371	2015	F	0	0	903.500
13BTS371	2016	F	0	0	1009.714
13BTS371	2017	F	6	0	1042.667
13BTS372	2015	F	0	1	887.000
13BTS372	2016	F	0	3	979.250
13BTS372	2017	F	5	0	999.722
13BTS378	2015	F	0	0	750.000
13BTS378	2016	F	0	0	930.000
13BTS378	2017	F	4	0	995.400
13BTS381	2015	F	0	0	969.000
13BTS381	2016	F	0	0	1086.167
13BTS381	2017	F	2	0	1144.214
13BTS381	2018	F	0	0	1186.667
13BTS382	2015	F	0	0	866.500
13BTS382	2016	F	10	0	1088.000
13BTS382	2017	F	0	0	1096.647
13BTS383	2015	F	0	0	822.667
13BTS383	2016	F	0	0	951.875
13BTS383	2017	F	3	0	979.000
13BTS388	2015	F	0	0	632.000
13BTS388	2016	F	0	0	908.000
13BTS388	2017	F	0	0	1010.000
13BTS395	2015	F	0	0	729.333
13BTS395	2016	F	0	0	952.500
13BTS395	2017	F	3	0	1013.188
13BTS395	2018	F	0	0	1025.333
13BTS398	2015	F	0	0	706.667
13BTS400	2015	F	0	0	825.000
13BTS400	2016	F	0	0	998.375
13BTS400	2017	F	2	0	1027.500
13BTS402	2015	F	0	0	902.000
13BTS402	2016	F	0	0	971.250
13BTS402	2017	F	0	0	956.000
13BTS405	2015	F	0	0	702.500
13BTS405	2016	F	0	0	909.400
13BTS407	2015	F	0	0	891.000
13BTS407	2016	F	3	0	1015.800
13BTS407	2017	F	0	0	1027.286
13BTS409	2015	F	0	0	836.000
13BTS409	2016	F	0	0	1022.167
13BTS409	2017	F	9	0	1043.304
13BTS409	2018	F	0	0	1060.000
13BTS413	2015	F	0	0	859.000
13BTS413	2016	F	0	0	1010.500
13BTS413	2017	F	11	0	1058.321
13BTS413	2018	F	0	0	1078.800
13BTS414	2015	F	0	0	920.250
13BTS414	2016	F	0	0	1072.000
13BTS414	2017	F	8	0	1089.857
13BTS414	2018	F	0	0	1125.000
13BTS417	2015	F	0	0	898.500
13BTS417	2016	F	0	0	1031.500
13BTS417	2017	F	0	0	1075.200
13BTS417	2018	F	0	0	1128.000
13BTS422	2015	F	0	0	780.333
13BTS422	2016	F	0	0	977.429
13BTS422	2017	F	0	0	1004.231
13BTS422	2018	F	0	0	1039.667
13BTS429	2015	F	0	0	901.800
13BTS429	2016	F	13	1	1009.250
13BTS429	2017	F	0	0	1033.150
13BTS429	2018	F	0	0	1048.000
13BTS430	2015	F	0	0	875.000
13BTS430	2016	F	0	0	1024.500
13BTS430	2017	F	0	0	1098.167
13BTS430	2018	F	0	0	1100.000
13BTS431	2015	F	0	0	557.000
13BTS431	2016	F	0	0	841.400
13BTS431	2017	F	0	0	886.500
13BTS439	2015	F	0	0	899.000
13BTS439	2016	F	5	2	1010.667
13BTS439	2017	F	0	0	1036.077
13BTS440	2015	F	0	0	849.000
13BTS440	2016	F	0	0	974.667
13BTS440	2017	F	16	0	1063.000
13BTS440	2018	F	0	0	1093.500
13BTS460	2015	F	0	0	842.250
13BTS460	2016	F	0	0	1073.000
13BTS460	2017	F	0	0	1137.100
13BTS468	2015	F	0	0	576.000
13BTS500	2016	F	0	0	780.333
13BTS500	2017	F	0	0	827.333
13BTS501	2016	F	0	0	825.333
13BTS501	2017	F	1	0	929.182
13BTS503	2016	F	0	0	860.667
13BTS503	2017	F	10	0	896.133
13BTS514	2015	F	0	0	775.000
13BTS514	2016	F	0	0	901.375
13BTS514	2017	F	1	0	964.333
13BTS514	2018	F	0	0	1012.200
13BTS517	2012	F	0	0	547.500
13BTS517	2013	F	2	0	714.500
13BTS517	2015	F	0	0	967.833
13BTS517	2016	F	3	0	997.667
13BTS525	2015	F	1	0	853.800
13BTS525	2016	F	0	0	965.000
13BTS525	2017	F	7	0	1025.667
13BTS526	2015	F	0	0	804.000
13BTS526	2016	F	0	3	1000.111
13BTS526	2017	F	1	0	1003.500
13BTS532	2015	F	0	0	833.000
13BTS532	2016	F	0	0	978.364
13BTS532	2017	F	3	0	1023.727
13BTS540	2010	F	0	0	398.000
13BTS540	2011	F	0	0	564.000
13BTS540	2012	F	1	0	901.571
13BTS540	2013	F	5	2	958.500
13BTS540	2015	F	6	0	1022.500
13BTS540	2016	F	0	0	1023.700
13BTS540	2017	F	2	0	1026.476
13BTS540	2018	F	0	0	1042.000
13BTS543	2016	F	0	0	789.000
13BTS549	2015	F	1	0	843.667
13BTS549	2016	F	0	0	945.000
13BTS549	2017	F	0	0	996.167
13BTS549	2018	F	0	0	1044.000
13BTS556	2015	F	1	0	938.000
13BTS556	2016	F	0	0	1024.200
13BTS556	2017	F	10	0	1075.136
13BTS556	2018	F	0	0	1074.333
13BTS557	2015	F	0	0	950.167
13BTS557	2016	F	0	0	1049.000
13BTS557	2017	F	2	0	1052.250
13BTS561	2015	F	0	0	588.000
13BTS561	2016	F	0	0	862.500
13BTS561	2017	F	0	0	958.333
13BTS562	2015	F	0	0	804.000
13BTS562	2016	F	0	0	932.857
13BTS566	2015	F	0	0	884.000
13BTS566	2016	F	0	2	999.000
13BTS566	2017	F	0	0	1013.813
13BTS566	2018	F	0	0	1033.000
13BTS571	2015	F	0	0	844.667
13BTS571	2016	F	0	0	988.857
13BTS571	2017	F	3	0	1019.125
13BTS577	2016	F	0	0	435.500
13BTS577	2017	F	0	0	612.143
13BTS588	2016	F	0	0	715.667
13BTS588	2017	F	0	0	785.000
13BTS598	2016	F	0	0	979.800
13BTS598	2017	F	5	0	1005.000
13BTS601	2016	F	0	0	568.333
13BTS601	2017	F	0	0	657.000
13BTS602	2016	F	0	0	770.667
13BTS602	2017	F	1	0	779.667
13BTS605	2016	F	0	0	466.000
13BTS605	2017	F	0	0	766.800
13BTS605	2018	F	0	0	842.500
13BTS607	2016	F	0	0	490.000
13BTS607	2017	F	0	0	608.000
13BTS607	2018	F	0	0	835.750
13BTS621	2015	F	0	0	874.000
13BTS621	2016	F	0	0	1031.714
13BTS621	2017	F	0	0	1048.000
13BTS630	2016	F	0	0	462.000
13BTS630	2017	F	0	0	681.615
